Account_ID,Created_by_ID,Created_Date,Industry
0013100001VWdHfAAL,005i0000000fNkyAAE,2015-07-22,Education
0013100001VWdHuAAL,005i0000000fNkyAAE,2015-07-22,Education
0013100001VXN1KAAX,005i0000000fNkyAAE,2015-08-05,Education
0013100001auaBQAAY,005i0000000fNkyAAE,2015-09-01,Education
0013100001awhseAAA,005i0000000fNkyAAE,2015-09-16,Education
0013100001bZKDxAAO,005i0000000fNkyAAE,2015-09-22,Education
0013100001bZMFsAAO,005i0000000fNkyAAE,2015-09-22,Education
0013100001bZYGIAA4,005i0000000fNkyAAE,2015-09-23,Electronics
0013100001bZYVXAA4,005i0000000fNkyAAE,2015-09-23,Electronics
0013100001cRpCNAA0,005i0000006RgPOAA0,2015-10-28,Electronics
0013100001cSxtRAAS,005i0000006RgPOAA0,2015-11-06,Telecommunications
0013100001cUmsNAAS,005i0000000fNkyAAE,2015-11-18,Telecommunications
0013100001cVUEmAAO,005i0000000fNkyAAE,2015-11-23,Telecommunications
0013100001dAL4iAAG,005i0000000fNkyAAE,2015-12-15,Telecommunications
0013100001e9mKLAAY,005i0000000fpvQAAQ,2016-01-05,Telecommunications
0013100001eB85XAAS,005i0000006RgPOAA0,2016-01-14,Transportation
0013100001eBxPJAA0,00531000007KAsvAAG,2016-01-20,Transportation
0013100001eCIpHAAW,00531000007KAsvAAG,2016-01-22,Transportation
0013100001eCKcWAAW,005i0000006RgPOAA0,2016-01-22,Transportation
0013100001ekHGJAA2,00531000007KAsvAAG,2016-01-25,Transportation
0013100001ekS54AAE,005i0000000fNkyAAE,2016-01-26,Transportation
0013100001el29RAAQ,005i0000000fNkyAAE,2016-01-29,Transportation
0013100001el2DiAAI,005i0000000fNkyAAE,2016-01-29,Transportation
0013100001elfpsAAA,005i0000006RgPOAA0,2016-02-04,Transportation
0013100001eljtBAAQ,00531000007KAsvAAG,2016-02-04,Agriculture
0013100001elsDjAAI,005i0000000fpvQAAQ,2016-02-05,Apparel
0013100001em9ZOAAY,00531000007KAsvAAG,2016-02-08,Apparel
0013100001em9bPAAQ,00531000007KAsvAAG,2016-02-08,Banking
0013100001em9gUAAQ,00531000007KAsvAAG,2016-02-08,Banking
0013100001em9suAAA,00531000007KAsvAAG,2016-02-08,Banking
0013100001em9wIAAQ,00531000007KAsvAAG,2016-02-08,Banking
0013100001emA26AAE,00531000007KAsvAAG,2016-02-08,Banking
0013100001emA3nAAE,00531000007KAsvAAG,2016-02-08,Banking
0013100001emA5PAAU,00531000007KAsvAAG,2016-02-08,Biotechnology
0013100001emA6hAAE,00531000007KAsvAAG,2016-02-08,Energy
0013100001emADJAA2,00531000007KAsvAAG,2016-02-08,Energy
0013100001emAEWAA2,00531000007KAsvAAG,2016-02-08,Energy
0013100001emAHaAAM,00531000007KAsvAAG,2016-02-08,Energy
0013100001emXyOAAU,00531000007KAsvAAG,2016-02-11,Energy
0013100001emY1NAAU,00531000007KAsvAAG,2016-02-11,Energy
0013100001emY9lAAE,00531000007KAsvAAG,2016-02-11,Energy
0013100001enLr2AAE,005i0000000fpvQAAQ,2016-02-18,Hospitality
0013100001enW6YAAU,00531000007KAu8AAG,2016-02-19,Hospitality
0013100001enlrdAAA,00531000007KAu8AAG,2016-02-22,Hospitality
0013100001ennfGAAQ,00531000007KAu8AAG,2016-02-22,Hospitality
0013100001enucRAAQ,00531000007KAsvAAG,2016-02-23,Hospitality
0013100001enulxAAA,00531000007KAsvAAG,2016-02-23,Hospitality
0013100001env6bAAA,00531000007KAsvAAG,2016-02-23,Hospitality
0013100001env8hAAA,00531000007KAsvAAG,2016-02-23,Hospitality
