Lead_ID,Converted,Converted_Account_ID,Converted_Opportunity_ID,Created_Date,Industry,Lead_Source,Status,Status_Simplified,Converted_Accounts,Converted_Opportunities
00Q5A00001OVC9lUAH,FALSE,N/A,N/A,2020-08-06,Banking,Website,Nurturing,Open,0,0
00Q5A00001OVCC6UAP,FALSE,N/A,N/A,2020-08-06,Biotechnology,Advertisement,Nurturing,Open,0,0
00Q5A00001OVCSEUA5,TRUE,0015A00002OI8y0QAD,0065A00001bM71ZQAS,2020-08-06,Apparel,Field Sales,Converted,Open,1,1
00Q5A00001OVCTbUAP,TRUE,0015A00002OI9CbQAL,0065A00001bM77yQAC,2020-08-06,Banking,Field Sales,Converted,Open,1,1
00Q5A00001OVDXDUA5,FALSE,N/A,N/A,2020-08-07,Agriculture,Advertisement,Nurturing,Open,0,0
00Q5A00001OVDZnUAP,FALSE,N/A,N/A,2020-08-07,Banking,Advertisement,Nurturing,Open,0,0
00Q5A00001OVDgjUAH,FALSE,N/A,N/A,2020-08-07,Telecommunications,Website,Nurturing,Open,0,0
00Q5A00001OVF00UAH,TRUE,0015A00002KwwCEQAZ,N/A,2020-08-10,Banking,Website,Converted,Open,1,0
00Q5A00001OVF68UAH,FALSE,N/A,N/A,2020-08-10,Agriculture,Website,Nurturing,Open,0,0
00Q5A00001OVF6DUAX,FALSE,N/A,N/A,2020-08-10,Communications,Advertisement,Nurturing,Open,0,0
00Q5A00001OVFEvUAP,FALSE,N/A,N/A,2020-08-10,Communications,Website,Nurturing,Open,0,0
00Q5A00001OVFR1UAP,TRUE,0015A00002OIh5cQAD,N/A,2020-08-10,Biotechnology,Website,Converted,Open,1,0
00Q5A00001OVFlBUAX,FALSE,N/A,N/A,2020-08-10,Communications,Website,Nurturing,Open,0,0
00Q5A00001OVGOoUAP,TRUE,0015A00002OIlkHQAT,N/A,2020-08-11,Chemicals,Website,Converted,Open,1,0
00Q5A00001OVGhqUAH,FALSE,N/A,N/A,2020-08-11,Retail,Website,Nurturing,Open,0,0
00Q5A00001OVGsFUAX,TRUE,0015A00002OImqSQAT,N/A,2020-08-11,N/A,Inside Sales,Converted,Open,1,0
00Q5A00001OVHEVUA5,TRUE,0015A00002OJbb5QAD,N/A,2020-08-12,Biotechnology,Website,Converted,Open,1,0
00Q5A00001OVHUXUA5,FALSE,N/A,N/A,2020-08-12,Consulting,Website,MQL,Open,0,0
00Q5A00001OVHb9UAH,TRUE,0015A00002TBWrxQAH,N/A,2020-08-12,N/A,Website,Converted,Open,1,0
00Q5A00001OVHgYUAX,FALSE,N/A,N/A,2020-08-12,Agriculture,Website,Nurturing,Open,0,0
00Q5A00001OVIDNUA5,FALSE,N/A,N/A,2020-08-13,Apparel,Website,Nurturing,Open,0,0
00Q5A00001OVIMpUAP,FALSE,N/A,N/A,2020-08-13,Banking,Website,Nurturing,Open,0,0
00Q5A00001OVITWUA5,TRUE,0015A00002Vr7w4QAB,0065A00001dePyLQAU,2020-08-13,N/A,Website,Converted,Open,1,1
