Opportunity_ID,Account_ID,Close_Date,Closed,Created_Date,Fiscal_Period,Fiscal_Quarter,Fiscal_Year,Forecast_Q_Commit,Industry,Lead_Source,Opportunity_Type,Stage,Won,Amount,Expected_Amount
0063100000YNxMDAA1,0013100001VWdHfAAL,2015-09-30,TRUE,2015-07-22,2015 3,3,2015,FALSE,Education,Website,N/A,Closed Lost,FALSE,0,0
0063100000YNxNGAA1,0013100001VWdHuAAL,2015-09-30,TRUE,2015-07-22,2015 3,3,2015,FALSE,Education,Website,N/A,Closed Won,TRUE,923,923
0063100000YOGBDAA5,001i000000Jd1ngAAB,2015-09-30,TRUE,2015-07-31,2015 3,3,2015,FALSE,Education,Other,N/A,Closed Lost,FALSE,177000,0
0063100000YOYE1AAP,0013100001VXN1KAAX,2015-09-30,TRUE,2015-08-05,2015 3,3,2015,FALSE,Education,Other,N/A,Closed Lost,FALSE,100000,0
0063100000ZJiQqAAL,0013100001awhseAAA,2015-09-30,TRUE,2015-09-16,2015 3,3,2015,FALSE,Education,Advertisement,N/A,Closed Lost,FALSE,0,0
0063100000ZKCUHAA5,0013100001bZKDxAAO,2015-09-30,TRUE,2015-09-22,2015 3,3,2015,FALSE,Education,Other,N/A,Closed Lost,FALSE,50000,0
0063100000ZKDYTAA5,0013100001bZMFsAAO,2015-09-30,TRUE,2015-09-22,2015 3,3,2015,FALSE,Education,Other,N/A,Closed Won,TRUE,50000,50000
0063100000ZKMQFAA5,0013100001bZYGIAA4,2015-09-30,TRUE,2015-09-23,2015 3,3,2015,FALSE,Electronics,Other,N/A,Closed Lost,FALSE,50000,0
0063100000ZKMWSAA5,0013100001bZYVXAA4,2015-09-30,TRUE,2015-09-23,2015 3,3,2015,FALSE,Electronics,Other,N/A,Closed Lost,FALSE,50000,0
0063100000ZlQEeAAN,0013100001cRpCNAA0,2015-12-31,TRUE,2015-10-28,2015 4,4,2015,FALSE,Electronics,Other,N/A,Closed Lost,FALSE,0,0
0063100000ZlQFIAA3,0013100001cRpCNAA0,2015-12-15,TRUE,2015-10-28,2015 4,4,2015,FALSE,Telecommunications,Other,N/A,Closed Lost,FALSE,50000,0
0063100000aBvNTAA0,001i000001MZ8IpAAL,2015-11-30,TRUE,2015-11-13,2015 4,4,2015,FALSE,Telecommunications,Other,N/A,Closed Lost,FALSE,2892032,0
0063100000aCFelAAG,0013100001cUmsNAAS,2015-12-31,TRUE,2015-11-18,2015 4,4,2015,FALSE,Telecommunications,Website,N/A,Closed Lost,FALSE,0,0
0063100000aCFl8AAG,001i000001MZMMuAAP,2016-09-30,TRUE,2015-11-18,2016 3,3,2016,FALSE,Telecommunications,Other,N/A,Closed Lost,FALSE,0,0
0063100000aCatgAAC,0013100001cVUEmAAO,2019-05-30,TRUE,2015-11-23,2019 2,2,2019,FALSE,Telecommunications,Advertisement,N/A,Closed Lost,FALSE,65000,0
0063100000aEEjGAAW,0013100001dAL4iAAG,2015-12-31,TRUE,2015-12-15,2015 4,4,2015,FALSE,Transportation,Other,N/A,Closed Won,TRUE,65000,65000
0063100000aFWpEAAW,001i000001MZMOvAAP,2019-09-27,TRUE,2016-01-05,2019 3,3,2019,FALSE,Transportation,Other,N/A,Closed Won,TRUE,60944.15,60944.15
0063100000aFacVAAS,0016e00002Zvj82AAB,2016-03-31,TRUE,2016-01-05,2016 1,1,2016,FALSE,Transportation,Inside Sales,N/A,Closed Won,TRUE,124624.5,124624.5
0063100000anT4uAAE,001i000001MZ8IpAAL,2016-09-30,TRUE,2016-01-08,2016 3,3,2016,FALSE,Transportation,Other,N/A,Closed Won,TRUE,3624,3624
0063100000antUKAAY,0013100001eB85XAAS,2016-03-31,FALSE,2016-01-14,2016 1,1,2016,FALSE,Transportation,Website,N/A,Qualified Opportunity,FALSE,0,0
0063100000antUuAAI,0013100001eB85XAAS,2016-12-30,FALSE,2016-01-14,2016 4,4,2016,FALSE,Transportation,Website,N/A,Qualified Opportunity,FALSE,65000,0
0063100000ao9wMAAQ,001i000000WS6x7AAD,2018-12-31,TRUE,2016-01-18,2018 4,4,2018,FALSE,Transportation,Other,N/A,Closed Lost,FALSE,130000,0
0063100000aoF6WAAU,0013100001dAL4iAAG,2021-12-31,TRUE,2016-01-19,2021 4,4,2021,FALSE,Transportation,Other,N/A,Closed Lost,FALSE,115000,0
0063100000aoLPaAAM,0013100001eBxPJAA0,2016-09-30,TRUE,2016-01-20,2016 3,3,2016,FALSE,Transportation,Inside Sales,N/A,Closed Lost,FALSE,65000,0
0063100000aojGMAAY,0013100001ekHGJAA2,2016-12-15,TRUE,2016-01-25,2016 4,4,2016,FALSE,Agriculture,Trade Show,N/A,Closed Won,TRUE,65000,65000
0063100000ap7sWAAQ,0013100001el29RAAQ,2016-03-31,TRUE,2016-01-29,2016 1,1,2016,FALSE,Apparel,Trade Show,N/A,Closed Lost,FALSE,0,0
0063100000apZWvAAM,001i000001MZMQXAA5,2016-02-11,TRUE,2016-02-03,2016 1,1,2016,FALSE,Apparel,Inside Sales,N/A,Closed Won,TRUE,150000,150000
0063100000apZwAAAU,001i0000014EAO9AAO,2016-09-30,TRUE,2016-02-04,2016 3,3,2016,FALSE,Banking,Other,N/A,Closed Lost,FALSE,71500,0
0063100000apecPAAQ,0013100001eljtBAAQ,2017-05-02,TRUE,2016-02-04,2017 2,2,2017,FALSE,Banking,Inside Sales,N/A,Closed Won,TRUE,56500,56500
0063100000aq7k4AAA,0013100001emAHaAAM,2016-02-19,TRUE,2016-02-08,2016 1,1,2016,FALSE,Banking,Website,N/A,Closed Won,TRUE,0,0
0063100000arFYbAAM,0013100001enlrdAAA,2018-12-28,TRUE,2016-02-22,2018 4,4,2018,FALSE,Banking,Sales Seminar,N/A,Closed Lost,FALSE,57394,0
0063100000arTVnAAM,0013100001eo7KyAAI,2016-04-14,TRUE,2016-02-24,2016 2,2,2016,FALSE,Banking,Inside Sales,N/A,Closed Won,TRUE,65000,65000
0063100000bfw4VAAQ,001i000000WS6x7AAD,2016-12-31,TRUE,2016-02-25,2016 4,4,2016,FALSE,Banking,Other,N/A,Closed Lost,FALSE,65000,0
0063100000bg1PIAAY,0013100001fpKktAAE,2017-10-24,TRUE,2016-02-26,2017 4,4,2017,FALSE,Biotechnology,Field Sales,N/A,Closed Won,TRUE,50015,50015
0063100000bg1oLAAQ,0013100001enW6YAAU,2016-11-02,TRUE,2016-02-26,2016 4,4,2016,FALSE,Energy,Field Sales,N/A,Closed Won,TRUE,48555,48555
